Country,Title,Type,Category,Frequency,Owner (group),Publisher,Ad Sales,Location / Note,Circulation,Country,Vertical,Audience,B2B/B2C,Reach,Format,Native fit,Tags,URL,URL_status
NO,Adresseavisen,Avis,Regional,Daglig,Polaris Media,Adresseavisen AS,Polaris Media Salg / SMS (samarbeid),Trondheim,75584,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.adressa.no,VERIFIED
NO,Aftenbladet Bryne,Avis,Lokal,Flere ganger ukentlig,Schibsted,Jærbladet AS,Schibsted Marketing Services (SMS),Jæren,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.aftenbladet.no,VERIFIED
NO,Aftenposten,Avis,Abonnementsavis riks,Daglig,Schibsted,Aftenposten AS,Schibsted Marketing Services (SMS),Oslo,252448,NO,News (National),General consumer,B2C,National,Print + Digital,High,"circulation-reported, high-circulation",https://www.aftenposten.no,VERIFIED
NO,Agderposten,Avis,Regional,Daglig,Polaris Media,Agderposten AS,Polaris Media Salg / SMS (samarbeid),Arendal,19633,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.agderposten.no,VERIFIED
NO,Akers Avis Groruddalen,Avis,Regional,Ukentlig,Amedia,Akers Avis AS,Amedia Salg,Oslo,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.groruddalen.no,VERIFIED
NO,Akershus Amtstidende,Avis,Regional,Daglig,Amedia,Amta AS,Amedia Salg,Drøbak,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://amta.no,VERIFIED
NO,Alvdal midt i væla,Avis,Lokal,Ukentlig,Selvstendig,Alvdal MIV,Direkte hos utgiver,Alvdal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.alvdalmiv.no,VERIFIED
NO,Andøyposten,Avis,Lokal,2x ukentlig,Selvstendig,Andøyposten AS,Direkte hos utgiver,Andøy,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.andoyposten.no,VERIFIED
NO,Arbeidets Rett,Avis,Regional,Flere ganger ukentlig,Polaris Media,Arbeidets Rett AS,Polaris Media Salg / SMS (samarbeid),Røros,,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,,https://www.retten.no,VERIFIED
NO,Arendals Tidende,Avis,Lokal,Ukentlig,Selvstendig,Arendals Tidende AS,Direkte hos utgiver,Arendal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.arendalstidende.no,VERIFIED
NO,Askøyværingen,Avis,Lokal,2x ukentlig,Polaris Media,Askøyværingen AS,Polaris Media Salg / SMS (samarbeid),Askøy (51% Polaris),,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.av-avis.no,VERIFIED
NO,Aura Avis,Avis,Lokal,Flere ganger ukentlig,Amedia,Aura Avis AS,Amedia Salg,Sunndal,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://auraavis.no,VERIFIED
NO,Aust Agder Blad,Avis,Lokal,Flere ganger ukentlig,Amedia,Aust Agder Blad AS,Amedia Salg,Risør,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.austagderblad.no,VERIFIED
NO,Avisa Hemnes,Avis,Lokal,Ukentlig,Selvstendig,Avisa Hemnes,Direkte hos utgiver,Hemnes,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.avisa-hemnes.no,VERIFIED
NO,Avisa Lofoten,Avis,Lokal,Ukentlig,Selvstendig,Avisa Lofoten AS,Direkte hos utgiver,Lofoten,,NO,News (Local),Regional consumer,B2C,Local,Print + Digital,Medium,,https://www.lofotnytt.no,LIKELY_OK
NO,Avisa Nordland,Avis,Regional,Daglig,Amedia,Avisa Nordland AS,Amedia Salg,Bodø,21820,NO,News (Regional),Regional consumer,B2C,Regional,Print + Digital,Medium,circulation-reported,https://www.an.no,VERIFIED
NO,Avisa Oslo,Avis,Regional,Digital,Amedia,Avisa Oslo AS,Amedia Salg,Oslo,,NO,News (Regional),Regional consumer,B2C,Regional,Digital,Medium,,https://avisaoslo.no,VERIFIED
